School Name,Address,Status
Gurgaon,GALI NO 1 WEST RAJIV NAGAR GURUGRAM,Operational
Gurgaon,"VPO - KHERKI DAULA, SECTOR - 84, GURUGRAM, HARYANA",Operational
Gurgaon,"ashok vihar phase 3, NEAR CHOTU RAM CHOWK, GURGAON",Operational
Gurgaon,F BLOCK SARASWATI INCLAVE GURUGRAM,Operational
Gurgaon,U-55 ROAD DLF PHASE -III GURUGRAM,Operational
Gurgaon,Near Radha Swami Satsang Beas Pataudi Road Gurugram Haryana,Operational
Gurgaon,surat nagar phase 1 gurugram,Operational
Gurgaon,"C.R.M.P.Sr.Sec.School,Sector-32,Jharsa",Operational
Sohna,"D.A.V. POLICE PUBLIC SCHOOL, RTC CAMPUS BHONDSI GURUGRAM",Operational
Pataudi,,Operational
F.nagar,,Operational
Gurgaon,,Operational
Sohna,,Permanently Closed
Elite Global School,,Permanently Closed
DAV PUBLIC SCHOOL SEC-10 A,dav public school sector 10A gurugram,Operational
"DAV PUBLIC SCHOOL, SEC-49","Uppals Southend, Sector 49, Gurugram",Operational
DAV PUBLIC SCHOOL SECTOR-14,"DAV PUBLIC SCHOOL, SECTOR 14 GURUGRAM",Operational
D.A.V SR. SEC. SCHOOL KHANDSA ROAD,D.A.V.SR.SEC.SCHOOL KHANDSA ROAD GURUGRAM,Operational
Dayal Public School,plot no-198 vpo chakkarpur Gurugram,Operational
DAYANAND AADARSH SCHOOL,sector 4 ARYA SAMAJ MANDIR,Operational
DAYANAND ARYA MIDDLE SCHOOL,ward number 18 old sabzi mandi sohna 122103,Operational
DEEP HIGH SCHOOL,VPO KHERLA TEH SOHNA DISTT. GURUGRAM,Operational
DEEPIKA PUBLIC SCHOOL MANESAR,"V.P.O-MANESAR, GURUGRAM, HARYANA-122051",Operational
DELHI PUBLIC SCHOOL,site no 1 urban estate sector 45 gurugram,Operational
DELHI PUBLIC SCHOOL,Sector 103 Dwarka Expressway Gurugram,Operational
DELHI PUBLIC SCHOOL,Delhi Public School Sector 47,Operational
DELHI PUBLIC SCHOOL DLF CITY BLOCK P,"P5, Akashneem Marg, Behind Oakwood Estate, DLF City, DLF Phase 2, Sector 25, Gurugram, Haryana 122008",Closed
DELHI PUBLIC SCHOOL GURUGRAM 67A,"Plot no HS-2, Sector 67A, Ansal Esencia C Block Rd, Gurugram",Operational
DELHI PUBLIC SCHOOL MARUTI KUNJ BHONDSI,Sohna alwar road bhondsi gurgaon,Operational
DELHI PUBLIC SCHOOL PATAUDI,"VPO JANAULA, TEH. FARRUKHNAGAR",Operational
"Delhi Public School , Sector -102 A , Dwarka Expressway Gurugram",DPS Sector 102 Dwarka Expressway Gurugram,Operational
DELHI PUBLIC SCHOOL SECTOR-28,Delhi Public School M K DLF CITY P-5 Lane DLF Phase-II Gurugram,Closed
DELHI PUBLIC SCHOOL Sector-84,"plot no hs-01, street no-p-01, Sec 84, Gurugram",Operational
"DELHI PUBLIC SCHOOL, SUSHANT LOK","B-BLOCK, SUSHANT LOK-I, BEHIND MAX HOSPITAL, GURUGRAM, HARYANA-122002",Operational
DELHI WORLD PUBLIC SCHOOL,"GAIRATPUR BAS ,GSSS TEEKLI",Closed
DEV INTERNATIONAL SCHOOL,high way road Pachgaon,Operational
DEVI SARASWATI VIDYA MANDIR PUBLIC SCHOOL PATAUDI,ward no thirteen pataudi,Operational
DEVKI KAILASH PUBLIC SCHOOL,"WARD NO 6 NEAR Holika maidan,pataudi",Operational
DEV MEMORIAL PUBLIC SCHOOL JAKHOPUR,"DEV MEMORIAL PUBLIC SCHOOL,INDRI ROAD JAKHOPUR SOHNA",Operational
DEV SAMAJ SENIOR SECONDARY SCHOOL,485 A New colony/Krishna colony Gurugram,Operational
DHANKKAR SS F. NAGAR,WARD NO 11VPO FARRUKH NAGAR DISTT GURUGRAM,Operational
DHOLPOSH SHASTRI JAGDAMBA MIDDLE SCHOOL KHARKHARI,"VILL.KHARKHARI PO-BASALAMBI ,GURUGRAM",Operational
"Diamond valley public schoo, saraswati enclave,kadipur","B-93A, SARASWATI ENCLAVE GURUGRAM",Operational
Divine Dale International School,VPO SHERPUR TEH PATAUDI DISTT GURUGRAM,Operational
DIVINE DALES M/S GANDHI NAGAR,DIVINE DALES M/S GANDHI NAGAR GURUGRAM,Operational
Divine Public School,DIVINE PUBLIC SCHOOL VILL NAYA GAON PO BHONDSI,Operational
"DPSG, PALAM VIHAR, GURGAON","I Block Palam Vihar, Gurgaon",Operational
D P S G SUSHANT LOK,"C-Sushant Lok- I, Sec- 43, Gurugram",Operational
DPS HAILY MANDI,"Behind Govt. College, Jatauli- Karola Road, Hailymandi",Operational
DPS INTERNATIONAL SOUTH CITY-II,"HS-01, Golf Course Ext Rd, Block W, South City II, Sector 50",Operational
D.P.S Manesar,DPS MANESAR GURUGRAM,Closed
DPS MANESAR,"Village - Manesar, Gurugram, Harayana",Operational
DPS SR.SEC SCHOOL,DPS SR SEC SCHOOL SIDHRAWALI,Operational
DRONACHARYA HIGH SCHOOL,"VILLAGE BALEWA, P.O. KHALILPUR, TEHSIL PATAUDI, DISTT. GURUGRAM",Operational
"DRONACHARYA MIDDLE SCHOOL , HAILYMANDI",Ward no.1 HailyMandi,Operational
Dronacharya Public School,NAHARPUR KASAN DISTT GURUGRAM,Operational
DRONACHARYA SS F. NAGAR,"WARD NO.11 , HAILY MANDI ROAD , FARRUKH NAGAR , GURUGRAM , HARYANA -122506",Operational
"DRONA PUBLIC, SCHOL",RAVI NAGAR BASAI ROAD,Operational
DVM HIGH SCHOOL,SHIV COLONY SOHNA GURUGRAM,Operational
DVM PUBLIC SCHOOL DAULAH ROAD SOHNA,"Daulah Road Sohna, Teh Sohna Disst Gurugram Haryana",Operational
EDUCREST INTERNATIONAL SCHOOL,"Main Rd, Near Rail Suraksha Apartments, Sector 9A, Sector 9B, Gurugram, Haryana 122001",Operational
ELEGANT CHILDREN ACADEMY SHANTI KUNJ,"SANTI KUNJ , BHONDSI, GURUGRAM",Operational
ELITE CENTRAL ACADEMY,Elite Central Academy Gurugram,Operational
Elite Global School,,Permanently Closed
