surface,access,smoking,leisure,tourism,fixme,operator,operator:type,dog,@geometry,@id,addr:city,website,addr:village,noname,addr:postcode,highway,landuse,addr:housenumber,description,type,barrier,name:etymology:wikidata,check_date,name,name:en,grassland,brand,opening_hours:covid19,addr:district,amenity,created_by,addr:street,brand:wikidata,opening_hours,latitude,longitude
,,,park,,,,,,center,way/272749571,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4221445,77.0777966
,,,park,,,,,,center,way/273327656,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4073437,77.0154081
,,,park,,,,,,center,way/273327657,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4054801,77.0138525
,,,park,,,,,,center,way/273327658,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4074666,77.0177056
,,,park,,,,,,center,way/273327659,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4055599,77.0149713
,,,park,,,,,,center,way/273327661,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4094487,77.0150472
,,,park,,,,,,center,way/273327662,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4078565,77.016734
,,,park,,,,,,center,way/273327664,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4085744,77.0147036
,,,park,,,,,,center,way/273327665,,,,,,,,,,,wall,,,,,,,,,,,,,,28.4070363,77.0140597
,,,park,,,,,,center,way/273409239,,,,,,,,,,,wall,,,,,,,,,,,,,,28.510801,77.0328331
,,,park,,,,,,center,way/273409242,,,,,,,,,,,,,,,,,,,,,,,,,28.5218459,77.0451337
,,,park,,,,,,center,way/273409243,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5089319,77.0293339
,,,park,,,,,,center,way/273409244,,,,,,,,,,,,,,,,,,,,,,,,,28.5224719,77.0420204
,,,park,,,,,,center,way/273409245,,,,,,,,,,,,,,,,,,,,,,,,,28.5069684,77.038067
,,,park,,,,,,center,way/273409246,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5124959,77.038397
,,,park,,,,,,center,way/273409247,,,,,,,,,,,,,,,,,,,,,,,,,28.5197891,77.0408967
,,,park,,,,,,center,way/273409248,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5125714,77.0325624
,,,park,,,,,,center,way/273409249,,,,,,,,,,,,,,,,,,,,,,,,,28.5220443,77.0420127
,,,park,,,,,,center,way/273409250,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5121297,77.0421528
,,,park,,,,,,center,way/273409251,,,,,,,,,,,,,,,,,,,,,,,,,28.5218785,77.044084
,,,park,,,,,,center,way/273409252,,,,,,,,,,,wall,,,,,,,,,,,,,,28.511734,77.0323564
,,,park,,,,,,center,way/273409253,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5138361,77.0344985
,,,park,,,,,,center,way/273409254,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5060596,77.0343946
,,,park,,,,,,center,way/273409256,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5080969,77.0358649
,,,park,,,,,,center,way/273409257,,,,,,,,,,,,,,,,,,,,,,,,,28.5230071,77.0429799
,,,park,,,,,,center,way/273409258,,,,,,,,,,,,,,,,,,,,,,,,,28.5214007,77.0460808
,,,park,,,,,,center,way/273409259,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5136868,77.0337032
,,,park,,,,,,center,way/273409260,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5044576,77.0285909
,,,park,,,,,,center,way/273409261,,,,,,,,,,,,,,,,,,,,,,,,,28.5207791,77.0412704
,,,park,,,,,,center,way/273409262,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5127102,77.0426513
,,,park,,,,,,center,way/273409265,,,,,,,,,,,wall,,,,,,,,,,,,,,28.506302,77.0295784
,,,park,,,,,,center,way/273409266,,,,,,,,,,,,,,,,,,,,,,,,,28.5214595,77.0419437
,,,park,,,,,,center,way/273409267,,,,,,,,,,,,,,,,,,,,,,,,,28.5207499,77.0469351
,,,park,,,,,,center,way/273409268,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5119327,77.0338092
,,,park,,,,,,center,way/273409269,,,,,,,,,,,wall,,,,,,,,,,,,,,28.510768,77.0378743
,,,park,,,,,,center,way/273409270,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5065332,77.0352925
,,,park,,,,,,center,way/273409271,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5061173,77.0371214
,,,park,,,,,,center,way/273409275,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5243273,77.0423654
,,,park,,,,,,center,way/273409276,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5219815,77.0400858
,,,park,,,,,,center,way/273409277,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5053267,77.0328501
,,,park,,,,,,center,way/273409278,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5046538,77.0296222
,,,park,,,,,,center,way/273409284,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5060013,77.0319113
,,,park,,,,,,center,way/273409285,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5144962,77.0344754
,,,park,,,,,,center,way/273409286,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5108397,77.0304057
,,,park,,,,,,center,way/273409292,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5069376,77.0285193
,,,park,,,,,,center,way/273409293,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5107913,77.0354236
,,,park,,,,,,center,way/273409295,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5150119,77.0339398
,,,park,,,,,,center,way/273409298,,,,,,,,,,,wall,,,,,,,,,,,,,,28.5178453,77.0411309
,,,park,,,,,,center,way/273417183,,,,,,,,,,,,,,,,,,,,,,,,,28.4996156,77.020823
,,,park,,,,,,center,way/282431807,,,,,,,,,,,,,,,,,,,,,,,,,28.4453624,77.0080176
,,,park,,,,,,center,way/297353904,,,,,,,,,,,,,,Triangle Park,,,,,,,,,,,28.4443401,77.0635857
